element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
V,2,"=""""","=""""","=""3700.5282""","=""0.0016""","=""""","=""6.e-06""",D,"=""106.6421""","=""2808.9590""","=""3d4""","=""a 5D""","=""2""","=""3d3.(4F).4s""","=""a 5F""","=""3""",E2,"=""T9770""","=""""",
Ti,1,"=""3700.681""","=""0.016""","=""3700.680""","=""0.005""","=""20""","=""""",,"=""17423.856""","=""20126.062""","=""3d3.(2D2).4s""","=""a 3D""","=""2""","=""3d2.(3F).4s.4p.(3P*)""","=""z 3D*""","=""3""",,"=""""","=""L10989""",
Mg,2,"=""""","=""""","=""3701.4""","=""1.0""","=""""","=""1.13e+05""",B+,"=""112197.05""","=""114898.72""","=""2p6.7d""","=""2D""","=""5/2""","=""2p6.9p""","=""2P*""","=""3/2""",,"=""c31""","=""""",
Mg,2,"=""""","=""""","=""3701.6""","=""1.0""","=""""","=""1.26e+04""",B+,"=""112197.17""","=""114898.72""","=""2p6.7d""","=""2D""","=""3/2""","=""2p6.9p""","=""2P*""","=""3/2""",,"=""c31""","=""""",
He,1,"=""""","=""""","=""3701.991280""","=""0.000010""","=""""","=""3.276e+01""",AA,"=""[191217.040967]""","=""[193918.28990114]""","=""1s.4p""","=""3P*""","=""2""","=""1s.5d""","=""1D""","=""2""",,"=""T8636c73""","=""""",
He,1,"=""""","=""""","=""3702.003609""","=""0.000010""","=""""","=""9.122e+01""",AA,"=""[191217.049963]""","=""[193918.28990114]""","=""1s.4p""","=""3P*""","=""1""","=""1s.5d""","=""1D""","=""2""",,"=""T8636c73""","=""""",
3He,1,"=""""","=""""","=""3702.056341""","=""0.000010""","=""""","=""""",,"=""[191206.826777]""","=""[193908.02823862]""","=""1s.4p""","=""3P*""","=""2""","=""1s.5d""","=""1D""","=""2""",,"=""""","=""""",
3He,1,"=""""","=""""","=""3702.068680""","=""0.000010""","=""""","=""""",,"=""[191206.835780]""","=""[193908.02823862]""","=""1s.4p""","=""3P*""","=""1""","=""1s.5d""","=""1D""","=""2""",,"=""""","=""""",
Ar,2,"=""3702.8296""","=""0.0005""","=""3702.828""","=""0.003""","=""40""","=""""",,"=""207746.4757""","=""210447.1140""","=""3s2.3p4.(3P).6d""","=""4D""","=""5/2""","=""3s2.3p4.(3P<2>).6f""","=""2[4]*""","=""7/2""",,"=""""","=""L11520""",
Ar,2,"=""3703.2012""","=""0.0014""","=""3703.1914""","=""0.0004""","=""28bl""","=""""",,"=""186340.5616""","=""189040.9351""","=""3s2.3p4.(3P).4d""","=""4F""","=""3/2""","=""3s2.3p4.(3P).5p""","=""4P*""","=""3/2""",,"=""""","=""L11520""",
Cr,2,"=""3703.3867""","=""0.0005""","=""3703.386""","=""0.004""","=""1""","=""""",,"=""107111.7606""","=""109811.992""","=""3d4.(5D).5d""","=""6G""","=""9/2""","=""3d4.(5D).6p""","=""6F*""","=""7/2""",,"=""""","=""L18847""",
Th,1,"=""3703.5222""","=""0.0008""","=""3703.52181""","=""0.00007""","=""31""","=""""",,"=""17354.638583""","=""20054.77119""","=""5f.6d.7s2""","=""3D*""","=""1""","=""6d3.(2F).7s""","=""3F""","=""2""",,"=""""","=""L9974""",
He,1,"=""""","=""""","=""3703.538526""","=""0.000010""","=""""","=""3.5536e+04""",AAA,"=""[191217.040967]""","=""[193917.16138710]""","=""1s.4p""","=""3P*""","=""2""","=""1s.5d""","=""3D""","=""1""",,"=""T8636c73""","=""""",
He,1,"=""""","=""""","=""3703.550865""","=""0.000010""","=""""","=""5.3303e+05""",AAA,"=""[191217.049963]""","=""[193917.16138710]""","=""1s.4p""","=""3P*""","=""1""","=""1s.5d""","=""3D""","=""1""",,"=""T8636c73""","=""""",
He,1,"=""""","=""""","=""3703.551499""","=""0.000010""","=""""","=""3.1979e+05""",AAA,"=""[191217.040967]""","=""[193917.15192855]""","=""1s.4p""","=""3P*""","=""2""","=""1s.5d""","=""3D""","=""2""",,"=""T8636c73""","=""""",
He,1,"=""""","=""""","=""3703.552379""","=""0.000010""","=""""","=""1.2793e+06""",AAA,"=""[191217.040967]""","=""[193917.15128741]""","=""1s.4p""","=""3P*""","=""2""","=""1s.5d""","=""3D""","=""3""",,"=""T8636c73""","=""""",
He,1,"=""""","=""""","=""3703.563839""","=""0.000010""","=""""","=""9.5937e+05""",AAA,"=""[191217.049963]""","=""[193917.15192855]""","=""1s.4p""","=""3P*""","=""1""","=""1s.5d""","=""3D""","=""2""",,"=""T8636c73""","=""""",
