Wavelength,Flux,BestFit,SkyFlux
3805.397,7.261,3.909,0.000
3806.274,7.260,3.474,4.548
3807.150,4.375,3.489,4.304
3808.027,1.492,2.931,4.603
3808.904,0.936,2.930,4.836
3809.781,3.481,3.248,4.995
3810.658,4.627,3.497,5.104
3811.536,4.833,3.697,5.181
3812.414,4.608,3.735,5.395
3813.291,3.894,3.096,5.375
3814.170,2.947,2.536,5.311
3815.048,2.105,2.262,5.220
3815.926,2.464,2.016,4.666
3816.805,6.789,1.678,4.727
3817.684,4.053,1.748,4.562
3818.563,2.888,2.292,4.428
3819.443,4.334,2.232,4.299
3820.322,2.825,1.702,4.191
3821.202,2.510,1.201,4.132
3822.082,3.305,1.110,4.067
3822.962,2.139,1.626,4.040
3823.843,2.949,1.990,4.101
3824.723,0.126,1.725,4.168
3825.604,1.601,1.150,4.348
3826.485,-1.459,0.726,4.579
3827.366,-2.981,0.661,4.869
3828.247,1.444,0.837,5.286
3829.129,1.355,1.186,5.815
3830.011,2.761,1.480,6.306
3830.893,4.399,1.740,6.618
3831.775,3.941,1.774,6.637
3832.657,2.715,1.438,6.515
3833.540,2.028,1.250,6.168
3834.423,1.620,1.225,5.873
3835.306,2.751,1.265,5.782
3836.189,3.838,1.608,5.903
3837.072,3.128,2.004,5.884
3837.956,2.689,1.914,5.496
3838.840,3.696,1.490,5.180
3839.724,11.971,1.095,5.090
3840.608,3.739,0.909,5.054
3841.493,-1.050,1.013,5.151
3842.377,2.448,1.522,5.259
3843.262,4.065,2.291,5.388
3844.147,2.649,2.693,5.593
3845.032,2.240,3.117,5.884
3845.918,2.543,3.143,6.181
3846.803,2.873,3.125,6.170
3847.689,2.464,3.112,5.635
3848.575,1.447,2.871,5.149
3849.462,3.836,2.728,4.775
3850.348,4.346,2.125,4.980
3851.235,3.503,1.985,5.412
3852.122,1.688,2.296,5.494
3853.009,2.917,2.585,4.959
3853.896,6.533,2.567,4.157
3854.784,3.559,2.382,3.746
3855.671,8.271,2.074,4.228
3856.559,2.558,1.759,4.905
3857.447,1.844,1.621,5.095
3858.336,0.025,1.581,4.634
3859.224,1.994,1.391,3.951
3860.113,3.745,1.037,3.510
3861.002,2.155,0.668,3.476
3861.891,1.095,1.111,3.881
3862.780,2.564,1.855,4.648
3863.670,4.110,2.370,5.084
3864.560,2.555,2.603,4.998
3865.449,-0.168,2.543,4.386
3866.340,1.696,2.504,4.039
3867.230,5.011,2.510,3.801
3868.121,3.602,2.677,3.872
3869.011,2.376,2.752,3.921
3869.902,3.614,2.451,3.735
3870.793,3.502,2.253,3.382
3871.685,3.655,2.068,2.926
3872.576,2.363,1.650,2.585
3873.468,1.025,1.483,2.752
3874.360,2.009,1.955,3.039
3875.252,2.922,2.841,3.376
3876.145,2.412,3.397,3.617
3877.037,2.433,3.345,3.709
3877.930,3.965,2.694,3.568
3878.823,3.708,1.965,3.289
3879.717,2.031,1.736,2.968
3880.610,5.614,2.166,2.751
3881.504,1.636,2.607,2.660
3882.398,3.050,2.324,2.822
3883.292,3.512,2.131,3.099
3884.186,3.636,2.560,3.300
